         11580714 function calls (11578651 primitive calls) in 50.141 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   50.140   50.140 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/ioloop.py:462(run_sync)
        1    0.000    0.000   50.140   50.140 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/platform/asyncio.py:210(start)
        1    0.003    0.003   50.140   50.140 /usr/lib/python3.10/asyncio/base_events.py:589(run_forever)
      767    0.019    0.000   50.137    0.065 /usr/lib/python3.10/asyncio/base_events.py:1832(_run_once)
      767    0.006    0.000   44.950    0.059 /usr/lib/python3.10/selectors.py:452(select)
      767   44.943    0.059   44.943    0.059 {method 'poll' of 'select.epoll' objects}
     1071    0.002    0.000    5.164    0.005 /usr/lib/python3.10/asyncio/events.py:78(_run)
     1071    0.018    0.000    5.163    0.005 {method 'run' of '_contextvars.Context' objects}
      197    0.005    0.000    4.594    0.023 /home/wolverine/bin/running/calculator3.py:705(logic_loop)
       27    0.000    0.000    4.546    0.168 /home/wolverine/bin/running/calculator3.py:2056(_on_market_data)
       27    0.124    0.005    4.546    0.168 /home/wolverine/bin/running/calculator3.py:2063(__on_market_data_raw)
    30422    0.130    0.000    4.340    0.000 /home/wolverine/bin/running/calculator3.py:2182(_on_bar)
    30422    0.051    0.000    4.127    0.000 /workspaces/money-engineering/TrinityStrategy/Trinity_Phase-2/WOS_Captain.py:488(on_bar)
    30422    0.201    0.000    4.076    0.000 /workspaces/money-engineering/TrinityStrategy/Trinity_Phase-2/WOS_Captain.py:174(on_bar)
    30216    0.434    0.000    3.049    0.000 /home/wolverine/bin/running/composite_strategyc3.py:303(on_bar)
   362592    1.098    0.000    2.439    0.000 /home/wolverine/bin/running/strategyc3.py:336(on_bar)
   341928    0.639    0.000    0.939    0.000 /home/wolverine/bin/running/strategyc3.py:401(_on_contract_volume)
    30216    0.319    0.000    0.469    0.000 /home/wolverine/bin/running/pycaitlynts3.py:388(from_sv)
      197    0.005    0.000    0.273    0.001 /home/wolverine/bin/running/calculatorp3.py:230(calc_loop)
      130    0.003    0.000    0.263    0.002 /home/wolverine/bin/running/calculatorp3.py:707(on_message)
      130    0.075    0.001    0.258    0.002 /home/wolverine/bin/running/calculator3.py:980(on_message)
      206    0.005    0.000    0.245    0.001 /workspaces/money-engineering/TrinityStrategy/Trinity_Phase-2/WOS_Captain.py:234(_on_cycle_pass)
     2472    0.009    0.000    0.202    0.000 /workspaces/money-engineering/TrinityStrategy/Trinity_Phase-2/WOS_Captain.py:263(_process_basket_signal)
   857607    0.104    0.000    0.181    0.000 /home/wolverine/bin/running/pycaitlyn.py:6842(get_market)
   888028    0.104    0.000    0.178    0.000 /home/wolverine/bin/running/pycaitlyn.py:6848(get_stock_code)
     3125    0.011    0.000    0.147    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_io.py:30(write)
      994    0.003    0.000    0.127    0.000 /home/wolverine/bin/running/strategyc3.py:759(_signal)
      836    0.004    0.000    0.119    0.000 /home/wolverine/bin/running/strategyc3.py:812(_execute_signal)
