         5414355 function calls (5412403 primitive calls) in 647.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  647.296  647.296 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/ioloop.py:462(run_sync)
        1    0.000    0.000  647.295  647.295 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/platform/asyncio.py:210(start)
        1    0.174    0.174  647.295  647.295 /usr/lib/python3.10/asyncio/base_events.py:589(run_forever)
    27838    0.849    0.000  647.121    0.023 /usr/lib/python3.10/asyncio/base_events.py:1832(_run_once)
    27838    0.401    0.000  631.689    0.023 /usr/lib/python3.10/selectors.py:452(select)
    27838  631.237    0.023  631.237    0.023 {method 'poll' of 'select.epoll' objects}
    44048    0.112    0.000   14.374    0.000 /usr/lib/python3.10/asyncio/events.py:78(_run)
    44048    0.656    0.000   14.262    0.000 {method 'run' of '_contextvars.Context' objects}
     3599    0.119    0.000    2.448    0.001 /home/wolverine/bin/running/calculator3.py:705(logic_loop)
     3994    0.139    0.000    2.355    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1124(_receive_frame_loop)
    11870    0.275    0.000    2.216    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1137(_receive_frame)
     4591    0.171    0.000    2.153    0.000 /home/wolverine/bin/running/calculatorp3.py:230(calc_loop)
    33515    0.173    0.000    2.065    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:400(read_bytes)
     5672    0.065    0.000    1.833    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/platform/asyncio.py:206(_handle_events)
      389    0.096    0.000    1.785    0.005 /home/wolverine/bin/running/calculatorp3.py:559(dispatch)
     5671    0.193    0.000    1.768    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:677(_handle_events)
     2104    0.069    0.000    1.705    0.001 /home/wolverine/bin/running/calculatorp3.py:707(on_message)
     1238    0.098    0.000    1.543    0.001 /home/wolverine/bin/running/calculator3.py:980(on_message)
    33528    0.213    0.000    1.541    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:823(_try_inline_read)
      240    0.006    0.000    1.310    0.005 /home/wolverine/bin/running/calculator3.py:1314(_decode_sva)
     2567    0.151    0.000    1.308    0.001 /home/wolverine/bin/running/calculator3.py:652(read_loop)
    17771    0.150    0.000    1.224    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1132(_read_bytes)
