         19021055 function calls (19019013 primitive calls) in 630.460 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  630.459  630.459 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/ioloop.py:462(run_sync)
        1    0.000    0.000  630.459  630.459 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/platform/asyncio.py:210(start)
        1    0.058    0.058  630.459  630.459 /usr/lib/python3.10/asyncio/base_events.py:589(run_forever)
    10924    0.343    0.000  630.401    0.058 /usr/lib/python3.10/asyncio/base_events.py:1832(_run_once)
    10924    0.111    0.000  609.451    0.056 /usr/lib/python3.10/selectors.py:452(select)
    10924  609.320    0.056  609.320    0.056 {method 'poll' of 'select.epoll' objects}
    14584    0.033    0.000   20.540    0.001 /usr/lib/python3.10/asyncio/events.py:78(_run)
    14584    0.397    0.000   20.507    0.001 {method 'run' of '_contextvars.Context' objects}
     2771    0.071    0.000   13.752    0.005 /home/wolverine/bin/running/calculator3.py:705(logic_loop)
      389    0.007    0.000   13.449    0.035 /home/wolverine/bin/running/calculator3.py:2056(_on_market_data)
      389    2.509    0.006   13.443    0.035 /home/wolverine/bin/running/calculator3.py:2063(__on_market_data_raw)
   431202    2.691    0.000    9.398    0.000 /home/wolverine/bin/running/calculator3.py:2182(_on_bar)
   431202    0.999    0.000    5.040    0.000 /workspaces/money-engineering/TrinityStrategy/TrinityStrategy.py:661(on_bar)
   431202    0.806    0.000    4.041    0.000 /workspaces/money-engineering/TrinityStrategy/TrinityStrategy.py:619(on_bar)
    31908    0.326    0.000    2.790    0.000 /workspaces/money-engineering/TrinityStrategy/TrinityStrategy.py:470(on_bar)
     2771    0.084    0.000    2.766    0.001 /home/wolverine/bin/running/calculatorp3.py:230(calc_loop)
     1815    0.054    0.000    2.602    0.001 /home/wolverine/bin/running/calculatorp3.py:707(on_message)
     1815    0.117    0.000    2.547    0.001 /home/wolverine/bin/running/calculator3.py:980(on_message)
     1233    0.327    0.000    1.496    0.001 /home/wolverine/bin/running/calculator3.py:722(push_loop)
   862404    1.125    0.000    1.487    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_io.py:50(flush)
      240    0.005    0.000    1.235    0.005 /home/wolverine/bin/running/calculator3.py:1314(_decode_sva)
    24836    0.117    0.000    1.188    0.000 /home/wolverine/bin/running/pycaitlynts3.py:310(copy_to_sv)
      389    0.005    0.000    1.031    0.003 /home/wolverine/bin/running/calculator3.py:1320(_decode_market_data)
      389    0.115    0.000    1.026    0.003 /home/wolverine/bin/running/calculator3.py:1277(_decode_to_raw)
      782    0.374    0.000    0.984    0.001 {method 'sort' of 'list' objects}
    24836    0.649    0.000    0.974    0.000 /home/wolverine/bin/running/pycaitlynts3.py:343(to_sv)
      388    0.230    0.001    0.835    0.002 /home/wolverine/bin/running/calculator3.py:2269(__send_batch_raw)
     1450    0.122    0.000    0.807    0.001 /home/wolverine/bin/running/calculatorp3.py:1175(read_loop)
    24860    0.459    0.000    0.713    0.000 /home/wolverine/bin/running/pycaitlynts3.py:388(from_sv)
      240    0.003    0.000    0.684    0.003 /home/wolverine/bin/running/calculator3.py:1308(_decode_to_json)
     2310    0.053    0.000    0.647    0.000 /home/wolverine/bin/running/calculatorp3.py:1244(write_loop)
      240    0.000    0.000    0.630    0.003 /home/wolverine/bin/running/pycaitlyn.py:11688(decode_to_json)
      240    0.630    0.003    0.630    0.003 {built-in method _pycaitlyn.TCDataCommunication_decode_to_json}
   431202    0.396    0.000    0.604    0.000 /home/wolverine/bin/running/calculator3.py:2078(<lambda>)
     1451    0.017    0.000    0.599    0.000 /usr/lib/python3.10/json/__init__.py:299(loads)
     1451    0.010    0.000    0.541    0.000 /usr/lib/python3.10/json/decoder.py:332(decode)
     1451    0.524    0.000    0.524    0.000 /usr/lib/python3.10/json/decoder.py:343(raw_decode)
     1159    0.025    0.000    0.516    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:503(write)
